['378匹配结果:0.485769242048264', '380匹配结果:0.98070353269577', '379匹配成功置信度：0.934909820556641']
['394匹配结果:0.484712392091751', '396匹配结果:0.979101717472076', '395匹配成功置信度：0.980225622653961']
['406匹配结果:0.477403730154037', '408匹配结果:0.978225409984589', '407匹配成功置信度：0.983262240886688']
['350匹配结果:0.487524449825287', '352匹配结果:0.981152355670929', '351匹配成功置信度：0.875357270240784']
['374匹配结果:0.485642224550247', '376匹配结果:0.981063485145569', '376匹配成功置信度：0.981063485145569']
['366匹配结果:0.490389734506607', '368匹配结果:0.982603073120117', '368匹配成功置信度：0.982603073120117']
['382匹配结果:0.566361904144287', '384匹配结果:0.98060554265976', '383匹配成功置信度：0.982770502567291']
['384匹配结果:0.481505244970322', '386匹配结果:0.983956217765808', '386匹配成功置信度：0.983956217765808']
['352匹配结果:0.487183123826981', '354匹配结果:0.880425751209259', '354匹配成功置信度：0.880425751209259']
['394匹配结果:0.487035840749741', '396匹配结果:0.982017576694489', '395匹配成功置信度：0.984998106956482']
['378匹配结果:0.499277830123901', '380匹配结果:0.980001091957092', '379匹配成功置信度：0.984353363513947']
['376匹配结果:0.483812212944031', '378匹配结果:0.981932163238525', '377匹配成功置信度：0.96084326505661']
['382匹配结果:0.477270901203156', '384匹配结果:0.98260098695755', '384匹配成功置信度：0.98260098695755']
['348匹配结果:0.482386022806168', '350匹配结果:0.981518507003784', '350匹配成功置信度：0.981518507003784']
['364匹配结果:0.481280416250229', '366匹配结果:0.983891546726227', '366匹配成功置信度：0.983891546726227']
['386匹配结果:0.480639457702637', '388匹配结果:0.984363436698914', '387匹配成功置信度：0.962852656841278']
['350匹配结果:0.474018663167953', '352匹配结果:0.981829106807709', '351匹配成功置信度：0.975630640983582']
['386匹配结果:0.480534285306931', '388匹配结果:0.978627026081085', '388匹配成功置信度：0.978627026081085']
['378匹配结果:0.479496985673904', '380匹配结果:0.980248630046844', '380匹配成功置信度：0.980248630046844']
['372匹配结果:0.469338029623032', '374匹配结果:0.982724070549011', '373匹配成功置信度：0.9812051653862']
['384匹配结果:0.478050857782364', '386匹配结果:0.936563670635223', '386匹配成功置信度：0.936563670635223']
['374匹配结果:0.475307911634445', '376匹配结果:0.980386853218079', '376匹配成功置信度：0.980386853218079']
['382匹配结果:0.471149384975433', '384匹配结果:0.918560564517975', '384匹配成功置信度：0.918560564517975']
['386匹配结果:0.470431178808212', '388匹配结果:0.981731355190277', '387匹配成功置信度：0.978737354278564']
['342匹配结果:0.480721294879913', '344匹配结果:0.951406002044678', '344匹配成功置信度：0.951406002044678']
['344匹配结果:0.473143696784973', '346匹配结果:0.956912457942963', '346匹配成功置信度：0.956912457942963']
['380匹配结果:0.474023938179016', '382匹配结果:0.979913234710693', '382匹配成功置信度：0.979913234710693']
['352匹配结果:0.619724154472351', '354匹配结果:0.979275763034821', '353匹配成功置信度：0.976851463317871']
['404匹配结果:0.472083806991577', '406匹配结果:0.98002952337265', '406匹配成功置信度：0.98002952337265']
['392匹配结果:0.475216180086136', '394匹配结果:0.934591054916382', '394匹配成功置信度：0.934591054916382']
['390匹配结果:0.458510309457779', '392匹配结果:0.974849164485931', '391匹配成功置信度：0.975818574428558']
['382匹配结果:0.476643830537796', '384匹配结果:0.976985275745392', '384匹配成功置信度：0.976985275745392']
['372匹配结果:0.476317316293716', '374匹配结果:0.978389382362366', '374匹配成功置信度：0.978389382362366']
['396匹配结果:0.491278827190399', '398匹配结果:0.976752460002899', '397匹配成功置信度：0.974692583084106']
['384匹配结果:0.472050607204437', '386匹配结果:0.974056661128998', '385匹配成功置信度：0.941983342170715']
['572匹配结果:0.470757842063904', '574匹配结果:0.972733438014984', '574匹配成功置信度：0.972733438014984']
['384匹配结果:0.475763112306595', '386匹配结果:0.966495037078857', '386匹配成功置信度：0.966495037078857']
['388匹配结果:0.701584935188293', '390匹配结果:0.968469202518463', '389匹配成功置信度：0.972796320915222']
['386匹配结果:0.470213979482651', '388匹配结果:0.966479599475861', '388匹配成功置信度：0.966479599475861']
['390匹配结果:0.484000444412231', '392匹配结果:0.968979895114899', '391匹配成功置信度：0.972856760025024']
['354匹配结果:0.476988047361374', '356匹配结果:0.970604658126831', '355匹配成功置信度：0.939700961112976']
['386匹配结果:0.469683796167374', '388匹配结果:0.970836639404297', '388匹配成功置信度：0.970836639404297']
['364匹配结果:0.54222160577774', '366匹配结果:0.970882296562195', '365匹配成功置信度：0.971408367156982']
['382匹配结果:0.456706523895264', '384匹配结果:0.969938397407532', '383匹配成功置信度：0.967990398406982']
['392匹配结果:0.472464889287949', '394匹配结果:0.972912788391113', '394匹配成功置信度：0.972912788391113']
['388匹配结果:0.477701723575592', '390匹配结果:0.96424925327301', '389匹配成功置信度：0.962772786617279']
['376匹配结果:0.47064346075058', '378匹配结果:0.971281707286835', '377匹配成功置信度：0.97222638130188']
['378匹配结果:0.473228991031647', '380匹配结果:0.970112323760986', '380匹配成功置信度：0.970112323760986']
['376匹配结果:0.470656543970108', '378匹配结果:0.970261633396149', '378匹配成功置信度：0.970261633396149']
['374匹配结果:0.471585094928741', '376匹配结果:0.969175040721893', '375匹配成功置信度：0.969331741333008']
['368匹配结果:0.475641638040543', '370匹配结果:0.969998002052307', '369匹配成功置信度：0.947635233402252']
['374匹配结果:0.472649693489075', '376匹配结果:0.965887427330017', '376匹配成功置信度：0.965887427330017']
['356匹配结果:0.458854734897614', '358匹配结果:0.965699255466461', '357匹配成功置信度：0.968305945396423']
['380匹配结果:0.471092611551285', '382匹配结果:0.964166641235352', '382匹配成功置信度：0.964166641235352']
['390匹配结果:0.457869589328766', '392匹配结果:0.964695394039154', '391匹配成功置信度：0.962146818637848']
